Name,City,State,Country,Latitude,Longitude,Color
Henry Busch,,CA,USA,36.778259,-119.417931,#874356
Henry Lee Lucas,Blacksburg,VA,USA,37.2296,-80.41394,#874357
Gayno Smith,Keokuk County,IA,USA,40.4015,-91.39,#874358
Richard Laurence Marquette,Portland,OR,USA,45.523064,-122.676483,#874359
Sharon Kinne,Independence,MO,USA,39.091118,-94.415504,#874360
Gary Rardon,Wayne County,NC,USA,35.5138,-77.9542,#874361
Winston Moseley,New York City,NY,USA,35.5138,-77.9542,#874362
Thomas Whisenhant,Prichard,AL,USA,30.73918,-88.080482,#874363
Rudy Bladel,Chicago,IL,USA,41.881832,-87.623177,#874364
Larry Ranes,Kalamazoo,MI,USA,42.299152,-85.591736,#874365
Charles Schmid,Tucson,AZ,USA,32.25346,-110.911789,#874366
Edmund Kemper,Burbank,CA,USA,34.18084,-118.308968,#874367
Vaughn Greenwood,,PA,USA,41.203323,-77.194527,#874368
Waneta Hoyt,Richford,NY,USA,42.3533,-76.2005,#874369
Patrick Kearney,East Los Angeles,CA,USA,34.0255,-118.1678,#874370
Janie Lou Gibbs,Cordele,GA,USA,31.9585,-83.773,#874371
Robert Biehler,Chase,KS,USA,38.27312,-98.5821872,#874372
Kenneth McDuff,Rosebud,TX,USA,38.27312,-98.5821872,#874373
Roland E. Clark,Newark,NJ,USA,40.735657,-74.172363,#874374
Lee Roy Martin,Gaffney,SC,USA,35.0697,-81.65,#874375
David Meirhofer,Bozeman,MT,USA,45.6527,-110.9392,#874376
Richard Cottingham,Bronx,NY,USA,40.837048,-73.865433,#874377
Jack Reeves,Wichita Falls,TX,USA,33.930828,-98.484879,#874378
Jerry Brudos,Webster,SD,USA,45.3336,-97.5195,#874379
John Dwight Canaday,,WA,USA,38.9072,-77.0369,#874380
Tony Costa,Cambridge,MA,USA,42.373611,-71.110558,#874381
Joseph Breslin,Philadelphia,PA,USA,39.998089,-75.134109,#874382
Leroy Snyder,Camden,NJ,USA,39.925945,-75.119621,#874383
Mark Alan Smith,Chicago,IL,USA,41.881832,-87.623177,#874384
Gary Grant,Renton,WA,USA,47.4866,-122.1952,#874385
Karl F. Werner,Marlborough,MA,USA,42.345463,-71.551628,#874386
George Fitzsimmons,KS City,MO,USA,39.1,-94.58,#874387
Gerard John Schaefer,,WI,USA,44.5,-89.5,#874388
Michael Sumpter,Boston,MA,USA,42.364758,-71.067421,#874389
Winford Stokes,St. Louis,MO,USA,38.627003,-90.199402,#874390
Gerald Stano,Schenectady,NY,USA,42.813297,-73.941177,#874391
Donald Beardslee,St. Louis,MO,USA,38.627003,-90.199402,#874392
Joe Michael Ervin,Fort Worth,TX,USA,32.768799,-97.309341,#874393
Stephen Morin,Providence,RI,USA,41.823989,-71.412834,#874394
Charles Ray Hatcher,Mound City,MO,USA,40.131107,-95.231643,#874395
Joseph Ernest Atkins,North Charleston,SC,USA,32.854622,-79.974808,#874396
Douglas Franklin Wright,Spirit Lake,IA,USA,43.425148,-95.104179,#874397
Charles Wooten,Hurst,TX,USA,32.823462,-97.170567,#874398
William Pierce,Midville,GA,USA,32.819045,-82.234845,#874399
Joseph Baldi,Queens,NY,USA,40.691294,-73.867343,#874400
Dean Corll,Fort Wayne,IN,USA,41.079273,-85.139351,#874401
Elmer Wayne Henley,Houston,TX,USA,29.749907,-95.358421,#874402
Carlton Gary,Columbus,GA,USA,32.492222,-84.940277,#874403
Robert Danielson,,IA,USA,42.032974,-93.581543,#874404
Donald Harvey,Butler County,OH,USA,39.44,-84.58,#874405
Tony Ables,St. Petersburg,FL,USA,27.773056,-82.639999,#874406
John Baughman,Orland,IL,USA,41.6303,-87.8539,#874407
Robert Charles Browne,Coushatta,LA,USA,32.014883,-93.342117,#874408
Samuel Little,Lorain,OH,USA,41.4528,-82.1824,#874409
Juan Corona,Autlán,Jalisco,Mexico,19.76822,-104.36664,#874410
Ricardo Caputo,Mendoza,Mendoza,Argentina,-32.888355,-68.838844,#874411
Velma Barfield,,SC,USA,33.836082,-81.163727,#874412
Ted Bundy,Burlington,VT,USA,44.4759,-73.2121,#874413
Rodney Alcala,San Antonio,TX,USA,29.424349,-98.491142,#874414
James Koedatich,Morristown,NJ,USA,40.796768,-74.481544,#874415
Judy Buenoano,Quanah,TX,USA,34.2907,-99.7385,#874416
Frank Davis,,IN,USA,39.690617,-86.173619,#874417
Robert Hansen,Estherville,IA,USA,43.4013478,-94.8391532,#874418
Randy Kraft,Long Beach,CA,USA,33.77005,33.77005,#874419
James Edward Pough,Jacksonville,FL,USA,30.332184,-81.655647,#874420
Marvin Gray,Princeton,KY,USA,37.1047,-87.8762,#874421
Charlie Brandt,Fort Wayne,IN,USA,41.079273,-85.139351,#874422
Brent Koster,Kalamazoo,MI,USA,42.2917,-85.5872,#874423
Danny Ranes,Kalamazoo,MI,USA,42.2917,-85.5872,#874424
Herbert Mullin,Felton,CA,USA,37.0508,-122.0535,#874425
Philip Joseph Hughes Jr.,Fresno County,CA,USA,36.75,-119.65,#874426
Adolph Laudenberg,Lexington,KY,USA,37.9887,-84.4777,#874427
Neal Long,Campton,KY,USA,37.734253,-83.547409,#874428
Robert Frederick Carr,,VA,USA,38.00234,-78.224935,#874429
John Wayne Gacy,Chicago,IL,USA,41.881832,-87.623177,#874430
John W. Hopkins,Johnstown,NY,USA,43.010265,-74.383682,#874431
Alvin Johnson,Smithville,TX,USA,30.0071,-97.1549,#874432
Marybeth Tinning,Duanesburg,NY,USA,42.76202,-74.1337383,#874433
John Floyd Thomas Jr.,Los Angeles,CA,USA,34.052235,-118.243683,#874434
Arthur Shawcross,Watertown,NY,USA,43.974785,-75.910759,#874435
Bernard Giles,Titusville,FL,USA,28.612219,-80.807556,#874436
Douglas Gretzler,Bronx,NY,USA,40.837048,-73.865433,#874437
Calvin Jackson,Buffalo,NY,USA,42.88023,-78.878738,#874438
(Zebra murders) Jessie Lee Cooks,,CA,USA,,,#874439
(Zebra murders) Larry Green,Berkeley,CA,USA,,,#874440
(Zebra murders) Manuel Moore,,CA,USA,,,#874441
(Zebra murders) J.C.X. Simon,Opelousas,LA,USA,,,#874442
Stephen Wayne Anderson,San Quentin,CA,USA,37.947632,-122.525261,#874443
Anthony Cook,Mobile,AL,USA,30.6944,-88.0431,#874444
Nathaniel Cook,Mobile,AL,USA,30.6944,-88.0431,#874445
Jerry Walter McFadden,Haskell County,TX,USA,37.5611249,-100.8840421,#874446
Eddie Mosley,Fort Lauderdale,FL,USA,26.122438,-80.137314,#874447
Daniel Hittle,Perry County,IN,USA,37.951445,-86.767766,#874448
James Allen Red Dog,Poplar,MT,USA,48.1057,-105.1903,#874449
Paul John Knowles,Orlando,FL,USA,28.538336,-81.379234,#874450
Kenneth Granviel,Fort Worth,TX,USA,32.768799,-97.309341,#874451
Joseph Kallinger,Philadelphia,PA,USA,39.952583,-75.165222,#874452
Ray Dell Sims,Oakland,CA,USA,37.77,-122.2,#874453
Randy Greenawalt,Hannibal,MO,USA,39.708736,-91.357063,#874454
Roger Dale Stafford,Sheffield,AL,USA,34.763912,-87.698586,#874455
Thomas Knight,Fort Pierce,FL,USA,27.450266,-80.339951,#874456
Thomas Eugene Creech,Hamilton,OH,USA,39.3995,-84.5613,#874457
Bruce Lindahl,St. Charles,IL,USA,41.914196,-88.308685,#874458
Carl Eugene Watts,Killeen,TX,USA,31.117119,-97.727798,#874459
Clayton Fountain,Fort Benning,GA,USA,32.3597,-84.9682,#874460
Wayne Nance,Clinton,MT,USA,46.87215,-113.994,#874461
Howard Allen,Indianapolis,IN,USA,39.791,-86.148003,#874462
Roy Melanson,Breaux Bridge,LA,USA,30.2735323,-91.8992837,#874463
Dennis Rader,Pittsburg,KS,USA,37.4109,-94.705,#874464
William Suff,Torrance,CA,USA,33.840763,-118.345413,#874465
David Edward Maust,Connellsville,PA,USA,39.9922,79.585,#874466
Lyle Brummett,Kerrville,TX,USA,30.0412,-99.1377,#874467
Billy Mansfield,Grand Rapids,MI,USA,42.9634,-85.6681,#874468
Gerald Frank Stanley,,CA,USA,,,#874469
Charles Jackson,,LA,USA,30.39183,-92.329102,#874470
John Ruthell Henry,Zephyrhills,FL,USA,28.23362,-82.181198,#874471
Anthony Guy Walker,Adrian,MI,USA,41.897549,-84.037163,#874472
Robert Ben Rhoades,Council Bluffs,IA,USA,41.2522,-95.8575,#874473
Robert Lee Yates,Oak Harbor,WA,USA,48.288296,-122.648422,#874474
Rodney Halbower,Muskegon,MI,USA,43.2338,-86.2423,#874475
David Berkowitz,New York City,NY,USA,35.5138,-77.9542,#874476
Montie Rissell,Wellington,KS,USA,37.267,-97.4,#874477
Thor Nis Christiansen,Folsom,CA,USA,38.678,-121.1761,#874478
Edward Delon Warren,Brookings,OR,USA,42.0575,-124.2864,#874479
Anthony LaRette,St. Charles,MO,USA,,,#874480
Ottis Toole,Jacksonville,FL,USA,30.332184,-81.655647,#874481
Steven David Catlin,Kern County,CA,USA,35.34,-118.72,#874482
Ronald Allridge,,West Germany,Germany,,,#874483
James Allridge,,West Germany,Germany,,,#874484
Joe Metheny,Baltimore,MD,USA,39.299236,-76.609383,#874485
Kenneth Bianchi,Rochester,NY,USA,43.16103,-77.610924,#874486
Angelo Buono Jr.,Rochester,NY,USA,43.16103,-77.610924,#874487
Richard Chase,Sacramento,CA,USA,38.575764,-121.478851,#874488
William Henry Hance,,GA,USA,,,#874489
(The .22 Caliber Killers) Gary Lewingdon,,OH,USA,,,#874490
(The .22 Caliber Killers) Thaddeus Lewingdon,,OH,USA,,,#874491
Danny Barber,Torrance,CA,USA,33.840763,-118.345413,#874492
Joseph Paul Franklin,Mobile,AL,USA,30.6944,-88.0431,#874493
Laron Williams,,LA,USA,,,#874494
Martha Ann Johnson,,GA,USA,,,#874495
Genene Jones,,TX,USA,,,#874496
Timothy Krajcir,West Mahanoy Township,PA,USA,40.781235,-76.215202,#874497
Roger Kibbe,San Diego County,CA,USA,33.02,-116.77,#874498
Lorenzo Gilyard,KS City,MO,USA,39.1,-94.58,#874499
Joseph Naso,Rochester,NY,USA,43.16103,-77.610924,#874500
Edward Edwards,Akron,OH,USA,41.0814,-81.519,#874501
Robert Hohenberger,,IN,USA,,,#874502
Darrell Keith Rich,,CA,USA,,,#874503
Gerald Parker,Jacksonville,FL,USA,,,#874504
Girvies Davis,East St. Louis,IL,USA,38.624516,-90.150642,#874505
Richard Holman,East St. Louis,IL,USA,38.624516,-90.150642,#874506
Andre Jones,East St. Louis,IL,USA,38.624516,-90.150642,#874507
(The Love Slave Killers) Gerald Gallego,Sacramento,CA,USA,38.575764,-121.478851,#874508
(The Love Slave Killers) Charlene Gallego,Stockton,CA,USA,37.961632,-121.275604,#874509
Robert Lee Willie,Mandeville,LA,USA,30.358252,-90.065628,#874510
Vincent Groves,Denver,CO,USA,39.742043,-104.991531,#874511
Jeffrey Dahmer,Milwaukee,WI,USA,43.0389,-87.9065,#874512
Phillip Carl Jablonski,Joshua Tree,CA,USA,33.881866,-115.90065,#874513
Robert Spangler,Des Moines,IA,USA,41.619549,-93.598022,#874514
Terry Peder Rasmussen,Denver,CO,USA,39.742043,-104.991531,#874515
Randy Gay,Garland County,AR,USA,34.5835,-93.1232,#874516
Freddie Tiller,East St. Louis,IL,USA,38.624516,-90.150642,#874517
Lawrence Bittaker,Pittsburgh,PA,USA,40.440624,-79.995888,#874518
Roy Norris,Greeley,CO,USA,40.391537,-104.681168,#874519
(Briley Brothers) Linwood Earl Briley,Richmond,VA,USA,37.5538,-77.4603,#874520
(Briley Brothers) James Dyral Briley Jr.,Richmond,VA,USA,37.5538,-77.4603,#874521
(Briley Brothers) Anthony Ray Briley,Richmond,VA,USA,37.5538,-77.4603,#874522
William Bonin,Willimantic,CT,USA,41.715839,-72.22184,#874523
Donald Murphy,Detroit,MI,USA,42.331429,-83.045753,#874524
Thomas Bunday,Nashville,TN,USA,36.174465,-86.76796,#874525
David Carpenter,San Francisco,CA,USA,37.733795,-122.446747,#874526
